tweet_id,text,rating_numerator,rating_denominator,p1,p1_conf,retweet_cnt,like_cnt
892420643555336193,this is phineas hes a mystical boy only ever appears in the hole of a donut 13/10 ,13,10,,,7739.0,36367.0
892177421306343426,this is tilly shes just checking pup on you hopes youre doing ok if not shes available for pats snugs boops the whole bit 13/10 ,13,10,Chihuahua,0.323581,5729.0,31320.0
891815181378084864,this is archie he is a rare norwegian pouncing corgo lives in the tall grass you never know when one may strike 12/10 ,12,10,Chihuahua,0.716012,3789.0,23605.0
891689557279858688,this is darla she commenced a snooze mid meal 13/10 happens to the best of us ,13,10,,,7903.0,39672.0
891327558926688256,this is franklin he would like you to stop calling him cute he is a very fierce shark and should be respected as such 12/10 barkweek ,12,10,basset,0.555712,8524.0,37875.0
891087950875897856,here we have a majestic great white breaching off south africas coast absolutely hckin breathtaking 13/10 ig tuckermarlo barkweek ,13,10,Chesapeake_Bay_retriever,0.425595,2852.0,19070.0
890971913173991426,meet jax he enjoys ice cream so much he gets nervous around it 13/10 help jax enjoy more things by clicking below ,13,10,Appenzeller,0.34170300000000003,1861.0,11111.0
890729181411237888,when you watch your owner call another dog a good boy but then they turn back to you and say youre a great boy 13/10 ,13,10,Pomeranian,0.566142,17266.0,61282.0
890609185150312448,this is zoey she doesnt want to be one of the scary sharks just wants to be a snuggly pettable boatpet 13/10 barkweek ,13,10,Irish_terrier,0.487574,3935.0,26266.0
890240255349198849,this is cassie she is a college pup studying international doggo communication and stick theory 14/10 so elegant much sophisticate ,14,10,Pembroke,0.511319,6731.0,30000.0
890006608113172480,this is koda he is a south australian deckshark deceptively deadly frighteningly majestic 13/10 would risk a petting barkweek ,13,10,Samoyed,0.957979,6723.0,28873.0
889880896479866881,this is bruno he is a service shark only gets out of the water to assist you 13/10 terrifyingly good boy ,13,10,French_bulldog,0.377417,4570.0,26244.0
889665388333682689,heres a puppo that seems to be on the fence about something haha no but seriously someone help her 13/10 ,13,10,Pembroke,0.966327,9164.0,45234.0
889638837579907072,this is ted he does his best sometimes thats not enough but its ok 12/10 would assist ,12,10,French_bulldog,0.99165,4116.0,25461.0
889531135344209921,this is stuart hes sporting his favorite fanny pack secretly filled with bones only 13/10 puppared puppo barkweek ,13,10,golden_retriever,0.953442,2064.0,14235.0
889278841981685760,this is oliver youre witnessing one of his many brutal attacks seems to be playing with his victim 13/10 frckin frightening barkweek ,13,10,whippet,0.626152,4885.0,23705.0
888917238123831296,this is jim he found a fren taught him how to sit like the good boys 12/10 for both ,12,10,golden_retriever,0.714719,4123.0,27416.0
888804989199671297,this is zeke he has a new stick very proud of it would like you to throw it for him without taking it 13/10 would do my best ,13,10,golden_retriever,0.46976,3891.0,24077.0
888554962724278272,this is ralphus hes powering up attempting maximum borkdrive 13/10 inspirational af ,13,10,Siberian_husky,0.700377,3190.0,18603.0
888078434458587136,this is gerald he was just told he didnt get the job he interviewed for a hckin injustice 12/10 didnt want the job anyway ,12,10,French_bulldog,0.995026,3171.0,20501.0
887705289381826560,this is jeffrey he has a monopoly on the pool noodles currently running a boop for two midweek sale 13/10 hckin strategic ,13,10,basset,0.821664,4933.0,28456.0
887517139158093824,ive yet to rate a venezuelan hover wiener this is such an honor 14/10 pawinspiring af ig roxythedoxy ,14,10,,,10784.0,43672.0
887473957103951883,this is canela she attempted some fancy porch pics they were unsuccessful 13/10 someone help her ,13,10,Pembroke,0.809197,16496.0,64757.0
887343217045368832,you may not have known you needed to see this today 13/10 please enjoy ig emmylouroo ,13,10,Mexican_hairless,0.330741,9587.0,31675.0
887101392804085760,this is a jubilant antarctic house bear we only rate dogs please only send dogs thank you 12/10 would suffocate in floof ,12,10,Samoyed,0.733942,5453.0,28819.0
886983233522544640,this is maya shes very shy rarely leaves her cup 13/10 would find her an environment to thrive in ,13,10,Chihuahua,0.793469,7030.0,32910.0
886736880519319552,this is mingus hes a wonderful father to his smol pup confirmed 13/10 but he needs your help ,13,10,kuvasz,0.309706,2945.0,11290.0
886680336477933568,this is derek hes late for a dog meeting 13/10 petal to the metal ,13,10,,,4090.0,21156.0
886366144734445568,this is roscoe another pupper fallen victim to spontaneous tongue ejections get the blepipen immediate 12/10 deep breaths roscoe ,12,10,French_bulldog,0.999201,2901.0,19922.0
886258384151887873,this is waffles his doggles are pupside down unsure how to fix 13/10 someone assist waffles ,13,10,pug,0.943575,5782.0,26357.0
885984800019947520,viewer discretion advised this is jimbo he will rip ur finger right hckin off other dog clearly an accessory 12/10 pls pet with caution ,12,10,Blenheim_spaniel,0.972494,6156.0,30658.0
885528943205470208,this is maisey she fell asleep midexcavation happens to the best of us 13/10 would pat noggin approvingly ,13,10,pug,0.369275,5853.0,33852.0
885518971528720385,i have a new hero and his name is howard 14/10 ,14,10,,,3418.0,19282.0
885167619883638784,here we have a corgi undercover as a malamute pawbably doing important investigative work zero control over tongue happenings 13/10 ,13,10,malamute,0.8124819999999999,4009.0,20614.0
884925521741709313,this is earl he found a hat nervous about what you think of it 12/10 its delightful earl ,12,10,Italian_greyhound,0.259916,16596.0,72695.0
884876753390489601,this is lola its her first time outside must test the earth and taste the atmosphere 13/10 youre doing great lola ,13,10,chow,0.822103,5121.0,26229.0
884562892145688576,this is kevin hes just so happy 13/10 what is your secret kevin ,13,10,pug,0.5464060000000001,4304.0,22887.0
884441805382717440,i present to you pup in hat pup in hat is great for all occasions extremely versatile compact as hck 14/10 ig itselizabethgales ,14,10,Pembroke,0.993225,5216.0,25502.0
884247878851493888,omg he didnt mean to he was just trying a little barkour hes super sorry 13/10 would forgive immediate ,13,10,,,18639.0,68431.0
884162670584377345,meet yogi he doesnt have any important dog meetings today he just enjoys looking his best at all times 12/10 for dangerously dapper doggo ,12,10,German_shepherd,0.707046,2742.0,19216.0
883838122936631299,this is noah he cant believe someone made this mess got the vacuum out for you though offered to help clean pup 12/10 super good boy ,12,10,Doberman,0.610946,3150.0,20571.0
883482846933004288,this is bella she hopes her smile made you smile if not she is also offering you her favorite monkey 135/10 ,14,10,golden_retriever,0.943082,9052.0,43159.0
883360690899218434,meet grizzwald he may be the floofiest floofer i ever did see lost eyes saving a schoolbus from a volcano erpuption 13/10 heroic as hck ,13,10,chow,0.987997,3393.0,21359.0
883117836046086144,please only send dogs we dont rate mechanics no matter how hckin good thank you 13/10 would sneak a pat ,13,10,golden_retriever,0.949562,6086.0,34932.0
882992080364220416,this is rusty he wasnt ready for the first pic clearly puppared for the second 13/10 confirmed great boy ,13,10,Eskimo_dog,0.466778,3567.0,22506.0
882762694511734784,this is gus hes quite the cheeky pupper already perfected the disinterested wink 12/10 would let steal my girl ,12,10,Labrador_retriever,0.85005,4480.0,26628.0
882627270321602560,this is stanley he has his first swim lesson today doggle straps adjusted ready to go 13/10 phelps is nervous ig stanleythecorgi ,13,10,Pembroke,0.542982,5571.0,26353.0
882268110199369728,this is alfy youre witnessing his first watermelon experience i think it was a success 13/10 happy 4th alfy  ,13,10,golden_retriever,0.762211,10613.0,42229.0
882045870035918850,this is koko her owner inspired by barney recently built a cart for her to use during walks if she got tired 13/10 rest easy koko ,13,10,,,4485.0,27623.0
